from,to,weight
N187,N189,50.0
N189,N190,50.01
N190,N191,50.0
N191,N192,50.0
N192,N193,50.0
N193,N194,50.01
N194,N195,50.0
N195,N196,50.0
N196,N197,50.01
N197,N188,80.0
N188,N199,50.0
N199,N200,50.01
N200,N201,50.0
N201,N202,50.01
N202,N203,50.0
N203,N204,50.0
N204,N205,50.01
N205,N206,50.0
N206,N207,50.0
N207,N208,50.01
N208,N209,50.0
N209,N210,50.01
N210,N211,50.0
N211,N212,50.0
N212,N198,99.005
N198,N214,50.0
N214,N215,50.0
N215,N216,50.01
N216,N217,50.0
N217,N218,50.0
N218,N219,50.0
N219,N220,50.0
N220,N221,50.0
N221,N222,50.01
N222,N213,92.0
N223,N224,50.01
N224,N225,50.0
N225,N226,50.01
N226,N227,50.0
N227,N188,92.005
N198,N229,50.0
N229,N230,50.0
N230,N231,50.01
N231,N232,50.0
N232,N228,79.0
N187,N189,5.0
N187,N242,8.545
N187,N190,10.0
N188,N199,5.0
N188,N197,8.0
N188,N227,9.201
N189,N190,5.001
N189,N242,5.292
N190,N191,5.0
N190,N242,5.831
N191,N192,5.0
N191,N242,9.434
N192,N193,5.0
N192,N241,7.58
N193,N241,4.632
N193,N194,5.001
N194,N195,5.0
N194,N241,5.88
N195,N196,5.0
N195,N241,9.928
N196,N197,5.001
N196,N194,10.0
N197,N199,9.434
N198,N214,5.0
N198,N229,5.0
N198,N212,9.901
N199,N200,5.001
N200,N201,5.0
N200,N188,10.0
N201,N202,5.001
N201,N239,6.522
N202,N203,5.0
N202,N239,5.337
N203,N204,5.0
N203,N239,8.092
N204,N205,5.001
N204,N202,10.0
N205,N206,5.0
N205,N207,10.0
N206,N207,5.0
N206,N204,10.0
N207,N208,5.001
N208,N209,5.0
N208,N206,10.0
N209,N210,5.001
N209,N238,7.981
N210,N238,4.973
N210,N211,5.0
N211,N212,5.0
N211,N238,6.061
N212,N238,9.936
N213,N222,9.2
N213,N221,14.2
N213,N234,18.269
N214,N215,5.0
N214,N229,7.071
N215,N216,5.001
N215,N198,10.0
N216,N217,5.0
N216,N218,10.0
N217,N218,5.0
N217,N233,5.946
N218,N233,4.512
N218,N219,5.0
N219,N220,5.0
N219,N233,7.44
N220,N221,5.0
N220,N234,5.25
N221,N222,5.001
N221,N234,6.046
N222,N234,9.725
N223,N247,1.5
N223,N224,5.001
N223,N225,10.0
N224,N225,5.0
N224,N247,6.501
N225,N226,5.001
N226,N227,5.0
N226,N224,10.0
N227,N225,10.0
N228,N246,2.202
N228,N232,7.9
N228,N231,12.9
N229,N230,5.0
N230,N231,5.001
N230,N235,5.27
N231,N235,4.785
N231,N232,5.0
N232,N235,8.301
N234,N219,8.28
N236,N205,16.703
N236,N204,17.253
N236,N206,17.521
N242,N243,6.485
N243,N190,10.8
N243,N189,11.769
N246,N232,10.1
N246,N231,15.1
N247,N225,11.5
