id,x,y,name,type,floor
N248,2383.0,665.0,ประตูที่ 1 2205,door,2
N249,2385.0,750.0,ประตูที่ 2 2205,door,2
N250,2260.0,748.0,ประตู 2203,door,2
N251,2260.0,670.0,ประตู 2204,door,2
N252,2380.0,1085.0,ประตูฐานเรียนรู้ฟิสิกส์,door,2
N253,2101.0,1203.0,บันไดกลาง,stair_mid,2
N254,2041.0,1199.0,ประตูห้องน้ำหญิง,door,2
N255,1451.0,1203.0,ประตูห้องน้ำชาย,door,2
N256,1340.0,1199.0,ลิฟท์,elevator,2
N257,1565.0,1071.0,ประตูกลางห้องปฏิบัติการ,door,2
N258,1649.0,776.0,ประตูปฏิบัติการ 6,door,2
N259,1601.0,665.0,ประตูปฏิบัติการ 5,door,2
N260,1603.0,585.0,ประตูปฏิบัติการ 4,door,2
N261,1533.0,587.0,ประตูปฏิบัติการ 3,door,2
N262,1533.0,663.0,ประตูปฏิบัติการ 2,door,2
N263,1487.0,774.0,ประตูปฏิบัติการ 1,door,2
N264,920.0,1072.0,ประตูสำนักงาน 2201,door,2
N265,935.0,1250.0,ประตู MS1,door,2
N266,868.0,1212.0,ประตู MS2,door,2
N267,1017.0,1564.0,ประตู MS3,door,2
N268,1185.0,1197.0,ประตูกลาง MS,door,2
N269,1240.0,1512.0,ประตูกลาง2 MS,door,2
N270,1350.0,1723.0,ประตู MS4,door,2
N271,1441.0,1629.0,ประตู MS5,door,2
N272,1340.0,1764.0,ประตู ห้องครุภัณฑ์,door,2
N273,1383.0,1851.0,ประตู ชมรมวัสดุศาสตร์,door,2
N274,2318.0,493.0,บันไดขวา,stair_right,2
N275,1185.0,567.0,บันไดซ้าย,stair_left,2
N577,1180.0,607.0,corr N577,corridor,2
N578,1187.0,1156.0,corr N578,corridor,2
N579,1181.0,657.0,corr N579,corridor,2
N580,1181.0,707.0,corr N580,corridor,2
N581,1182.0,757.0,corr N581,corridor,2
N582,1183.0,807.0,corr N582,corridor,2
N583,1183.0,857.0,corr N583,corridor,2
N584,1184.0,907.0,corr N584,corridor,2
N585,1184.0,957.0,corr N585,corridor,2
N586,1185.0,1007.0,corr N586,corridor,2
N587,1186.0,1057.0,corr N587,corridor,2
N588,2318.0,1146.0,corr N588,corridor,2
N589,1237.0,1156.0,corr N589,corridor,2
N590,1287.0,1155.0,corr N590,corridor,2
N591,1337.0,1155.0,corr N591,corridor,2
N592,1387.0,1154.0,corr N592,corridor,2
N593,1437.0,1154.0,corr N593,corridor,2
N594,1487.0,1153.0,corr N594,corridor,2
N595,1537.0,1153.0,corr N595,corridor,2
N596,1587.0,1152.0,corr N596,corridor,2
N597,1637.0,1152.0,corr N597,corridor,2
N598,1687.0,1152.0,corr N598,corridor,2
N599,1737.0,1151.0,corr N599,corridor,2
N600,1787.0,1151.0,corr N600,corridor,2
N601,1837.0,1150.0,corr N601,corridor,2
N602,1887.0,1150.0,corr N602,corridor,2
N603,1937.0,1149.0,corr N603,corridor,2
N604,1987.0,1149.0,corr N604,corridor,2
N605,2037.0,1148.0,corr N605,corridor,2
N606,2087.0,1148.0,corr N606,corridor,2
N607,2137.0,1148.0,corr N607,corridor,2
N608,2187.0,1147.0,corr N608,corridor,2
N609,2237.0,1147.0,corr N609,corridor,2
N610,2318.0,1096.0,corr N610,corridor,2
N611,2318.0,1046.0,corr N611,corridor,2
N612,2318.0,996.0,corr N612,corridor,2
N613,2318.0,946.0,corr N613,corridor,2
N614,2318.0,896.0,corr N614,corridor,2
N615,2318.0,846.0,corr N615,corridor,2
N616,2318.0,796.0,corr N616,corridor,2
N617,2318.0,746.0,corr N617,corridor,2
N618,2318.0,696.0,corr N618,corridor,2
N619,2318.0,646.0,corr N619,corridor,2
N620,2318.0,596.0,corr N620,corridor,2
N621,2318.0,546.0,corr N621,corridor,2
N622,1567.0,1153.0,corr N622,corridor,2
N623,1570.0,586.0,corr N623,corridor,2
N624,1567.0,1103.0,corr N624,corridor,2
N625,1568.0,1053.0,corr N625,corridor,2
N626,1568.0,1003.0,corr N626,corridor,2
N627,1568.0,953.0,corr N627,corridor,2
N628,1568.0,903.0,corr N628,corridor,2
N629,1569.0,853.0,corr N629,corridor,2
N630,1569.0,803.0,corr N630,corridor,2
N631,1569.0,753.0,corr N631,corridor,2
N632,1569.0,703.0,corr N632,corridor,2
N633,1570.0,653.0,corr N633,corridor,2
N634,1480.0,658.0,corr N634,corridor,2
N635,1483.0,708.0,corr N635,corridor,2
N636,1662.0,680.0,corr N636,corridor,2
N637,964.0,1152.0,corr N637,corridor,2
N638,1137.0,1155.0,corr N638,corridor,2
N639,1087.0,1154.0,corr N639,corridor,2
N640,1037.0,1153.0,corr N640,corridor,2
N641,964.0,1094.0,corr N641,corridor,2
N642,908.0,1096.0,corr N642,corridor,2
N643,904.0,1517.0,corr N643,corridor,2
N644,908.0,1146.0,corr N644,corridor,2
N645,907.0,1196.0,corr N645,corridor,2
N646,907.0,1246.0,corr N646,corridor,2
N647,906.0,1296.0,corr N647,corridor,2
N648,906.0,1346.0,corr N648,corridor,2
N649,905.0,1396.0,corr N649,corridor,2
N650,905.0,1446.0,corr N650,corridor,2
N651,994.0,1521.0,corr N651,corridor,2
N652,1187.0,1513.0,corr N652,corridor,2
N653,1185.0,1247.0,corr N653,corridor,2
N654,1186.0,1297.0,corr N654,corridor,2
N655,1186.0,1347.0,corr N655,corridor,2
N656,1186.0,1397.0,corr N656,corridor,2
N657,1187.0,1447.0,corr N657,corridor,2
N658,1393.0,1509.0,corr N658,corridor,2
N659,1290.0,1511.0,corr N659,corridor,2
N660,1340.0,1510.0,corr N660,corridor,2
N661,1401.0,1820.0,corr N661,corridor,2
N662,1394.0,1559.0,corr N662,corridor,2
N663,1396.0,1609.0,corr N663,corridor,2
N664,1397.0,1659.0,corr N664,corridor,2
N665,1398.0,1709.0,corr N665,corridor,2
N666,1399.0,1759.0,corr N666,corridor,2
